ERROR|COMPILE_TIME_ERROR|UNDEFINED_METHOD|C:\\Users\\faysa\\OneDrive\\Documents\\Flutter\\visiaxx-main\\lib\\features\\quick_vision_test\\screens\\questionnaire_screen.dart|646|9|19|The method '_buildSectionHeader' isn't defined for the type '_QuestionnaireScreenState'.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\faysa\\OneDrive\\Documents\\Flutter\\visiaxx-main\\lib\\features\\comprehensive_test\\screens\\mobile_refractometry_quick_result_screen.dart|319|22|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\faysa\\OneDrive\\Documents\\Flutter\\visiaxx-main\\lib\\features\\comprehensive_test\\screens\\mobile_refractometry_quick_result_screen.dart|321|41|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\faysa\\OneDrive\\Documents\\Flutter\\visiaxx-main\\lib\\features\\comprehensive_test\\screens\\mobile_refractometry_quick_result_screen.dart|339|28|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\faysa\\OneDrive\\Documents\\Flutter\\visiaxx-main\\lib\\features\\comprehensive_test\\screens\\mobile_refractometry_quick_result_screen.dart|359|52|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\faysa\\OneDrive\\Documents\\Flutter\\visiaxx-main\\lib\\features\\comprehensive_test\\screens\\mobile_refractometry_quick_result_screen.dart|362|32|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\faysa\\OneDrive\\Documents\\Flutter\\visiaxx-main\\lib\\features\\comprehensive_test\\screens\\pelli_robson_result_screen.dart|186|46|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\faysa\\OneDrive\\Documents\\Flutter\\visiaxx-main\\lib\\features\\comprehensive_test\\screens\\pelli_robson_result_screen.dart|189|48|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\faysa\\OneDrive\\Documents\\Flutter\\visiaxx-main\\lib\\features\\comprehensive_test\\screens\\pelli_robson_result_screen.dart|255|53|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\faysa\\OneDrive\\Documents\\Flutter\\visiaxx-main\\lib\\features\\comprehensive_test\\screens\\pelli_robson_result_screen.dart|308|50|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\faysa\\OneDrive\\Documents\\Flutter\\visiaxx-main\\lib\\features\\comprehensive_test\\screens\\pelli_robson_result_screen.dart|376|52|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
